year,gear,ocean,species,product,property,value
2012,PS,EIO,SKJ,lc,sales_value,179616993
2012,PS,EIO,YFT,lc,volume,4492
2012,PS,EIO,YFT,lc,catch_value,10160904
2012,PS,EIO,YFT,lc,sales_value,43810150.16
2012,TR,EIO,ALB,lc,volume,486.9
2012,TR,EIO,ALB,lc,catch_value,1719243.9
2012,TR,EIO,ALB,lc,sales_value,4380570.589
2012,TR,EIO,ALB,dom,volume,54.1
2012,TR,EIO,ALB,dom,catch_value,191027.1
2012,TR,EIO,ALB,dom,sales_value,162300
2012,TR,EIO,BET,lc,volume,605.7
2012,TR,EIO,BET,lc,catch_value,1166881.05
2012,TR,EIO,BET,lc,sales_value,4815137.442
2012,TR,EIO,BET,dom,volume,67.3
2012,TR,EIO,BET,dom,catch_value,129653.45
2012,TR,EIO,BET,dom,sales_value,269200
2012,TR,EIO,SKJ,lc,volume,8774.1
2012,TR,EIO,SKJ,lc,catch_value,16087312.35
2012,TR,EIO,SKJ,lc,sales_value,54575525.79
2012,TR,EIO,SKJ,dom,volume,974.9
2012,TR,EIO,SKJ,dom,catch_value,1787479.15
2012,TR,EIO,SKJ,dom,sales_value,3412150
2012,TR,EIO,YFT,lc,volume,2579.4
2012,TR,EIO,YFT,lc,catch_value,5834602.8
2012,TR,EIO,YFT,lc,sales_value,25156701.09
2012,TR,EIO,YFT,dom,volume,286.6
2012,TR,EIO,YFT,dom,catch_value,648289.2
2012,TR,EIO,YFT,dom,sales_value,1576300
2012,BBPL,EAO,ALB,lc,volume,14558
2012,BBPL,EAO,ALB,lc,catch_value,50254216
2012,BBPL,EAO,ALB,lc,sales_value,130976271.6
2012,BBPL,EAO,BET,lc,volume,9541
2012,BBPL,EAO,BET,lc,catch_value,18435597.25
2012,BBPL,EAO,BET,lc,sales_value,75848153.11
2012,BBPL,EAO,BFT,fsh_sash,volume,211.5
2012,BBPL,EAO,BFT,fsh_sash,catch_value,7652896.552
2012,BBPL,EAO,BFT,fsh_sash,sales_value,11372978.82
2012,BBPL,EAO,BFT,fzn_sash,volume,70.5
2012,BBPL,EAO,BFT,fzn_sash,catch_value,883680.1203
2012,BBPL,EAO,BFT,fzn_sash,sales_value,5228948.984
2012,BBPL,EAO,SKJ,lc,volume,45086
2012,BBPL,EAO,SKJ,lc,catch_value,70536371.67
2012,BBPL,EAO,SKJ,lc,sales_value,280438125.4
2012,BBPL,EAO,YFT,lc,volume,6529
2012,BBPL,EAO,YFT,lc,catch_value,14768598
2012,BBPL,EAO,YFT,lc,sales_value,63676863.39
2012,GN,EAO,SKJ,lc,volume,4946
2012,GN,EAO,SKJ,lc,catch_value,7737942.915
2012,GN,EAO,SKJ,lc,sales_value,30764471.63
2012,GN,EAO,YFT,dom,volume,604
2012,GN,EAO,YFT,dom,catch_value,1118662.194
2012,GN,EAO,YFT,dom,sales_value,2237324.388
2012,HL,EAO,ALB,dom,volume,17
2012,HL,EAO,ALB,dom,catch_value,58684
2012,HL,EAO,ALB,dom,sales_value,51000
2012,HL,EAO,BET,dom,volume,267
2012,HL,EAO,BET,dom,catch_value,517446
2012,HL,EAO,BET,dom,sales_value,1068000
2012,HL,EAO,BFT,fsh_sash,volume,143.25
2012,HL,EAO,BFT,fsh_sash,catch_value,5183344.828
2012,HL,EAO,BFT,fsh_sash,sales_value,7702975.014
2012,HL,EAO,BFT,fzn_sash,volume,47.75
2012,HL,EAO,BFT,fzn_sash,catch_value,598520.9326
2012,HL,EAO,BFT,fzn_sash,sales_value,3541593.106
2012,HL,EAO,SKJ,lc,volume,982
2012,HL,EAO,SKJ,lc,catch_value,1536324.291
2012,HL,EAO,SKJ,lc,sales_value,6108109.815
2012,HL,EAO,YFT,dom,volume,1337
2012,HL,EAO,YFT,dom,catch_value,2476243.962
2012,HL,EAO,YFT,dom,sales_value,7353500
2012,LL,EAO,ALB,lc,volume,2471
2012,LL,EAO,ALB,lc,catch_value,8529892
2012,LL,EAO,ALB,lc,sales_value,22231238.29
2012,LL,EAO,BET,fzn_sash,volume,16796
2012,LL,EAO,BET,fzn_sash,catch_value,105230362.4
2012,LL,EAO,BET,fzn_sash,sales_value,290404118
2012,LL,EAO,BFT,dom,volume,171.5
2012,LL,EAO,BFT,dom,catch_value,332367
2012,LL,EAO,BFT,dom,sales_value,664734
2012,LL,EAO,BFT,fsh_sash,volume,514.5
2012,LL,EAO,BFT,fsh_sash,catch_value,18616620.69
2012,LL,EAO,BFT,fsh_sash,sales_value,27666182.51
2012,LL,EAO,BFT,fzn_sash,volume,1029
