year,gear,rfmo,species,product,property,value
2012,TR,W,BFT,fs,ev,0
2012,TR,W,BFT,zs,v,0
2012,TR,W,BFT,zs,dv,0
2012,TR,W,BFT,zs,ev,0
2012,TR,W,BFT,r,v,0
2012,TR,W,BFT,r,dv,0
2012,TR,W,BFT,r,ev,0
2012,TR,W,PBF,lc,v,0
2012,TR,W,PBF,lc,dv,0
2012,TR,W,PBF,lc,ev,0
2012,TR,W,PBF,d,v,0
2012,TR,W,PBF,d,dv,0
2012,TR,W,PBF,d,ev,0
2012,TR,W,PBF,fs,v,0
2012,TR,W,PBF,fs,dv,0
2012,TR,W,PBF,fs,ev,0
2012,TR,W,PBF,zs,v,0
2012,TR,W,PBF,zs,dv,0
2012,TR,W,PBF,zs,ev,0
2012,TR,W,PBF,r,v,570
2012,TR,W,PBF,r,dv,7144380
2012,TR,W,PBF,r,ev,30650581.21
2012,TR,W,SBF,lc,v,0
2012,TR,W,SBF,lc,dv,0
2012,TR,W,SBF,lc,ev,0
2012,TR,W,SBF,d,v,0
2012,TR,W,SBF,d,dv,0
2012,TR,W,SBF,d,ev,0
2012,TR,W,SBF,fs,v,0
2012,TR,W,SBF,fs,dv,0
2012,TR,W,SBF,fs,ev,0
2012,TR,W,SBF,zs,v,0
2012,TR,W,SBF,zs,dv,0
2012,TR,W,SBF,zs,ev,0
2012,TR,W,SBF,r,v,0
2012,TR,W,SBF,r,dv,0
2012,TR,W,SBF,r,ev,0
2012,TR,W,SKJ,lc,v,4364.5
2012,TR,W,SKJ,lc,dv,6869592.251
